"segmento","codigo_bovespa","nome_acao","nome_tipo_acao","percentual_participacao_acao","percentual_participacao_acumulada","quantidade_teorica","ano","mes","dia","data_pregao"
"Consumo Cíclico / Tecid Vest Calç","VIVA3","VIVARA S.A.","ON      NM","0.151","0.151","123160591.00","2025","07","26","2025-07-26"
"Consumo Cíclico/Constr Civil","CYRE3","CYRELA REALT","ON      NM","0.315","0.628","257174951.00","2025","07","26","2025-07-26"
"Consumo Cíclico/Constr Civil","DIRR3","DIRECIONAL","ON      NM","0.202","0.628","108541907.00","2025","07","26","2025-07-26"
"Consumo Cíclico/Constr Civil","MRVE3","MRV","ON      NM","0.111","0.628","375507695.00","2025","07","26","2025-07-26"
"Consumo Cíclico/Viagens e Lazer","CVCB3","CVC BRASIL","ON      NM","0.053","0.387","450926127.00","2025","07","26","2025-07-26"
"Consumo Cíclico/Viagens e Lazer","SMFT3","SMART FIT","ON      NM","0.334","0.387","328547988.00","2025","07","26","2025-07-26"
"Diversos","COGN3","COGNA ON","ON      NM","0.242","2.172","1872454628.00","2025","07","26","2025-07-26"
"Diversos","RENT3","LOCALIZA","ON      NM","1.679","2.172","956264719.00","2025","07","26","2025-07-26"
"Diversos","VAMO3","VAMOS","ON      NM","0.094","2.172","485166826.00","2025","07","26","2025-07-26"
"Diversos","YDUQ3","YDUQS PART","ON      NM","0.157","2.172","260249057.00","2025","07","26","2025-07-26"
"Financ e Outros / Explor Imóveis","ALOS3","ALLOS","ON  ED  NM","0.492","1.078","476976044.00","2025","07","26","2025-07-26"
"Financ e Outros / Explor Imóveis","IGTI11","IGUATEMI S.A","UNT     N1","0.201","1.078","198474750.00","2025","07","26","2025-07-26"
"Financ e Outros / Explor Imóveis","MULT3","MULTIPLAN","ON      N2","0.385","1.078","314311970.00","2025","07","26","2025-07-26"
"Financ e Outros / Holdings Divers","ITSA4","ITAUSA","PN      N1","2.967","2.967","5856697902.00","2025","07","26","2025-07-26"
"Financ e Outros / Interms Financs","BBDC3","BRADESCO","ON      N1","0.954","18.650","1469064981.00","2025","07","26","2025-07-26"
"Financ e Outros / Interms Financs","BBDC4","BRADESCO","PN      N1","3.860","18.650","5111682020.00","2025","07","26","2025-07-26"
"Financ e Outros / Interms Financs","BBAS3","BRASIL","ON      NM","2.792","18.650","2842613858.00","2025","07","26","2025-07-26"
"Financ e Outros / Interms Financs","BPAC11","BTGP BANCO","UNT     N2","2.459","18.650","1287247964.00","2025","07","26","2025-07-26"
"Financ e Outros / Interms Financs","ITUB4","ITAUUNIBANCO","PN      N1","8.128","18.650","4757320048.00","2025","07","26","2025-07-26"
"Financ e Outros / Interms Financs","SANB11","SANTANDER BR","UNT EJ","0.457","18.650","356586730.00","2025","07","26","2025-07-26"
"Financ e Outros / Previd  Seguros","BBSE3","BBSEGURIDADE","ON      NM","1.037","2.064","637332335.00","2025","07","26","2025-07-26"
"Financ e Outros / Previd  Seguros","CXSE3","CAIXA SEGURI","ON      NM","0.396","2.064","600000000.00","2025","07","26","2025-07-26"
"Financ e Outros / Previd  Seguros","IRBR3","IRBBRASIL RE","ON      NM","0.177","2.064","81838243.00","2025","07","26","2025-07-26"
"Financ e Outros / Previd  Seguros","PSSA3","PORTO SEGURO","ON      NM","0.454","2.064","182560698.00","2025","07","26","2025-07-26"
"Financeiro e Outros/Serviços Financeiros Diversos","B3SA3","B3","ON      NM","3.298","3.298","5200055464.00","2025","07","26","2025-07-26"
"Mats Básicos / Madeira e Papel","KLBN11","KLABIN S/A","UNT     N2","0.705","2.314","765785673.00","2025","07","26","2025-07-26"
"Mats Básicos / Madeira e Papel","SUZB3","SUZANO S.A.","ON      NM","1.609","2.314","630821784.00","2025","07","26","2025-07-26"
"Mats Básicos / Mineração","BRAP4","BRADESPAR","PN      N1","0.201","12.157","250982988.00","2025","07","26","2025-07-26"
"Mats Básicos / Mineração","CMIN3","CSNMINERACAO","ON      N2","0.413","12.157","1646519336.00","2025","07","26","2025-07-26"
"Mats Básicos / Mineração","VALE3","VALE","ON  ATZ NM","11.543","12.157","4270903023.00","2025","07","26","2025-07-26"
"Mats Básicos / Químicos","BRKM5","BRASKEM","PNA     N1","0.116","0.116","265388400.00","2025","07","26","2025-07-26"
"Mats Básicos / Sid Metalurgia","GGBR4","GERDAU","PN      N1","1.091","1.781","1308152318.00","2025","07","26","2025-07-26"
"Mats Básicos / Sid Metalurgia","GOAU4","GERDAU MET","PN      N1","0.289","1.781","623866944.00","2025","07","26","2025-07-26"
"Mats Básicos / Sid Metalurgia","CSNA3","SID NACIONAL","ON","0.296","1.781","727459637.00","2025","07","26","2025-07-26"
"Mats Básicos / Sid Metalurgia","USIM5","USIMINAS","PNA     N1","0.105","1.781","515193199.00","2025","07","26","2025-07-26"
"Petróleo, Gás e Biocombustíveis","BRAV3","BRAVA","ON      NM","0.427","16.270","451311960.00","2025","07","26","2025-07-26"
"Petróleo, Gás e Biocombustíveis","CSAN3","COSAN","ON      NM","0.339","16.270","1160227510.00","2025","07","26","2025-07-26"
"Petróleo, Gás e Biocombustíveis","PETR3","PETROBRAS","ON      N2","4.796","16.270","2820420899.00","2025","07","26","2025-07-26"
"Petróleo, Gás e Biocombustíveis","PETR4","PETROBRAS","PN      N2","6.845","16.270","4410955873.00","2025","07","26","2025-07-26"
"Petróleo, Gás e Biocombustíveis","RECV3","PETRORECSA","ON      NM","0.178","16.270","274981010.00","2025","07","26","2025-07-26"
"Petróleo, Gás e Biocombustíveis","PRIO3","PETRORIO","ON      NM","1.586","16.270","779999989.00","2025","07","26","2025-07-26"
"Petróleo, Gás e Biocombustíveis","RAIZ4","RAIZEN","PN      N2","0.087","16.270","1210756333.00","2025","07","26","2025-07-26"
"Petróleo, Gás e Biocombustíveis","UGPA3","ULTRAPAR","ON      NM","0.874","16.270","1089082981.00","2025","07","26","2025-07-26"
"Petróleo, Gás e Biocombustíveis","VBBR3","VIBRA","ON      NM","1.138","16.270","1113939036.00","2025","07","26","2025-07-26"
"Saúde/Comércio Distr.","HYPE3","HYPERA","ON      NM","0.459","1.343","360057207.00","2025","07","26","2025-07-26"
"Saúde/Comércio Distr.","RADL3","RAIADROGASIL","ON      NM","0.884","1.343","1297567800.00","2025","07","26","2025-07-26"
"Saúde/SM Hosp An.Diag","FLRY3","FLEURY","ON      NM","0.320","2.619","455988366.00","2025","07","26","2025-07-26"
"Saúde/SM Hosp An.Diag","HAPV3","HAPVIDA","ON  ATZ NM","0.492","2.619","311217208.00","2025","07","26","2025-07-26"
"Saúde/SM Hosp An.Diag","RDOR3","REDE D OR","ON      NM","1.807","2.619","1145289019.00","2025","07","26","2025-07-26"
"Tec.Informação/Programas Servs","TOTS3","TOTVS","ON      NM","1.109","1.109","531531039.00","2025","07","26","2025-07-26"
"Telecomunicação","VIVT3","TELEF BRASIL","ON  EJ","1.136","1.914","764884256.00","2025","07","26","2025-07-26"
"Telecomunicação","TIMS3","TIM","ON  EJ  NM","0.778","1.914","806346600.00","2025","07","26","2025-07-26"
"Utilidade Públ / Água Saneamento","SBSP3","SABESP","ON      NM","3.564","3.564","683495706.00","2025","07","26","2025-07-26"
"Utilidade Públ / Energ Elétrica","AURE3","AUREN","ON      NM","0.151","11.616","323738747.00","2025","07","26","2025-07-26"
"Utilidade Públ / Energ Elétrica","CMIG4","CEMIG","PN      N1","0.945","11.616","1858636840.00","2025","07","26","2025-07-26"
"Utilidade Públ / Energ Elétrica","CPLE6","COPEL","PNB     N2","0.947","11.616","1671982390.00","2025","07","26","2025-07-26"
"Utilidade Públ / Energ Elétrica","CPFE3","CPFL ENERGIA","ON      NM","0.348","11.616","187732538.00","2025","07","26","2025-07-26"
"Utilidade Públ / Energ Elétrica","ELET3","ELETROBRAS","ON      N1","3.347","11.616","1808652474.00","2025","07","26","2025-07-26"
"Utilidade Públ / Energ Elétrica","ELET6","ELETROBRAS","PNB     N1","0.541","11.616","268875696.00","2025","07","26","2025-07-26"
"Utilidade Públ / Energ Elétrica","ENGI11","ENERGISA","UNT     N2","0.719","11.616","326175300.00","2025","07","26","2025-07-26"
"Utilidade Públ / Energ Elétrica","ENEV3","ENEVA","ON      NM","1.265","11.616","1907494195.00","2025","07","26","2025-07-26"
"Utilidade Públ / Energ Elétrica","EGIE3","ENGIE BRASIL","ON      NM","0.522","11.616","255236938.00","2025","07","26","2025-07-26"
"Utilidade Públ / Energ Elétrica","EQTL3","EQUATORIAL","ON      NM","2.046","11.616","1244304866.00","2025","07","26","2025-07-26"
"Utilidade Públ / Energ Elétrica","ISAE4","ISA ENERGIA","PN      N1","0.430","11.616","395801044.00","2025","07","26","2025-07-26"
"Utilidade Públ / Energ Elétrica","TAEE11","TAESA","UNT     N2","0.355","11.616","218568234.00","2025","07","26","2025-07-26"
"Bens Indls / Máqs e Equips","WEGE3","WEG","ON      NM","3.050","3.050","1482105837.00","2025","07","20","2025-07-20"
"Bens Indls / Mat Transporte","EMBR3","EMBRAER","ON      NM","2.437","2.701","734631701.00","2025","07","20","2025-07-20"
"Bens Indls / Mat Transporte","POMO4","MARCOPOLO","PN      N2","0.264","2.701","666378439.00","2025","07","20","2025-07-20"
"Bens Indls/Transporte","MOTV3","MOTIVA SA","ON      NM","0.605","1.861","991920937.00","2025","07","20","2025-07-20"
"Bens Indls/Transporte","RAIL3","RUMO S.A.","ON      NM","0.980","1.861","1216914397.00","2025","07","20","2025-07-20"
"Bens Indls/Transporte","STBP3","SANTOS BRP","ON      NM","0.276","1.861","409543219.00","2025","07","20","2025-07-20"
"Cons N  Básico / Alimentos Processados","BRFS3","BRF SA","ON      NM","0.824","1.304","832617717.00","2025","07","20","2025-07-20"
"Cons N  Básico / Alimentos Processados","MRFG3","MARFRIG","ON      NM","0.261","1.304","237618211.00","2025","07","20","2025-07-20"
"Cons N  Básico / Alimentos Processados","BEEF3","MINERVA","ON      NM","0.108","1.304","433214256.00","2025","07","20","2025-07-20"
"Cons N  Básico / Alimentos Processados","SMTO3","SAO MARTINHO","ON      NM","0.111","1.304","128130966.00","2025","07","20","2025-07-20"
"Cons N Cíclico / Bebidas","ABEV3","AMBEV S/A","ON","2.843","2.843","4394835131.00","2025","07","20","2025-07-20"
"Cons N Cíclico / Comércio Distr.","ASAI3","ASSAI","ON      NM","0.635","0.716","1345897506.00","2025","07","20","2025-07-20"
"Cons N Cíclico / Comércio Distr.","PCAR3","P.ACUCAR-CBD","ON      NM","0.081","0.716","461260303.00","2025","07","20","2025-07-20"
"Cons N Cíclico / Pr Pessoal Limp","NATU3","NATURA","ON      NM","0.391","0.391","845713747.00","2025","07","20","2025-07-20"
"Cons N Ciclico/Agropecuária","SLCE3","SLC AGRICOLA","ON      NM","0.172","0.172","194261422.00","2025","07","20","2025-07-20"
"Consumo Cíclico / Comércio","AZZA3","AZZAS 2154","ON      NM","0.237","1.316","136643320.00","2025","07","20","2025-07-20"
"Consumo Cíclico / Comércio","LREN3","LOJAS RENNER","ON      NM","0.887","1.316","1030587204.00","2025","07","20","2025-07-20"
"Consumo Cíclico / Comércio","MGLU3","MAGAZ LUIZA","ON      NM","0.135","1.316","353448195.00","2025","07","20","2025-07-20"
"Consumo Cíclico / Comércio","PETZ3","PETZ","ON  ATZ NM","0.057","1.316","295519280.00","2025","07","20","2025-07-20"
"Consumo Cíclico / Tecid Vest Calç","VIVA3","VIVARA S.A.","ON      NM","0.153","0.153","123160591.00","2025","07","20","2025-07-20"
"Consumo Cíclico/Constr Civil","CYRE3","CYRELA REALT","ON      NM","0.332","0.653","257174951.00","2025","07","20","2025-07-20"
"Consumo Cíclico/Constr Civil","DIRR3","DIRECIONAL","ON      NM","0.212","0.653","108541907.00","2025","07","20","2025-07-20"
"Consumo Cíclico/Constr Civil","MRVE3","MRV","ON      NM","0.109","0.653","375507695.00","2025","07","20","2025-07-20"
"Consumo Cíclico/Viagens e Lazer","CVCB3","CVC BRASIL","ON      NM","0.052","0.402","450926127.00","2025","07","20","2025-07-20"
"Consumo Cíclico/Viagens e Lazer","SMFT3","SMART FIT","ON      NM","0.350","0.402","328547988.00","2025","07","20","2025-07-20"
"Diversos","COGN3","COGNA ON","ON      NM","0.236","2.157","1872454628.00","2025","07","20","2025-07-20"
"Diversos","RENT3","LOCALIZA","ON      NM","1.663","2.157","956264719.00","2025","07","20","2025-07-20"
"Diversos","VAMO3","VAMOS","ON      NM","0.090","2.157","485166826.00","2025","07","20","2025-07-20"
"Diversos","YDUQ3","YDUQS PART","ON      NM","0.168","2.157","260249057.00","2025","07","20","2025-07-20"
"Financ e Outros / Explor Imóveis","ALOS3","ALLOS","ON      NM","0.502","1.092","476976044.00","2025","07","20","2025-07-20"
"Financ e Outros / Explor Imóveis","IGTI11","IGUATEMI S.A","UNT     N1","0.205","1.092","198474750.00","2025","07","20","2025-07-20"
"Financ e Outros / Explor Imóveis","MULT3","MULTIPLAN","ON      N2","0.385","1.092","314311970.00","2025","07","20","2025-07-20"
"Financ e Outros / Holdings Divers","ITSA4","ITAUSA","PN      N1","2.972","2.972","5856697902.00","2025","07","20","2025-07-20"
"Financ e Outros / Interms Financs","BBDC3","BRADESCO","ON      N1","0.960","18.727","1469064981.00","2025","07","20","2025-07-20"
"Financ e Outros / Interms Financs","BBDC4","BRADESCO","PN      N1","3.890","18.727","5111682020.00","2025","07","20","2025-07-20"
"Financ e Outros / Interms Financs","BBAS3","BRASIL","ON      NM","2.797","18.727","2842613858.00","2025","07","20","2025-07-20"
"Financ e Outros / Interms Financs","BPAC11","BTGP BANCO","UNT     N2","2.521","18.727","1287247964.00","2025","07","20","2025-07-20"
"Financ e Outros / Interms Financs","ITUB4","ITAUUNIBANCO","PN      N1","8.103","18.727","4757320048.00","2025","07","20","2025-07-20"
"Financ e Outros / Interms Financs","SANB11","SANTANDER BR","UNT EJ","0.456","18.727","356586730.00","2025","07","20","2025-07-20"
"Financ e Outros / Previd  Seguros","BBSE3","BBSEGURIDADE","ON      NM","1.062","2.104","637332335.00","2025","07","20","2025-07-20"
"Financ e Outros / Previd  Seguros","CXSE3","CAIXA SEGURI","ON      NM","0.407","2.104","600000000.00","2025","07","20","2025-07-20"
"Financ e Outros / Previd  Seguros","IRBR3","IRBBRASIL RE","ON      NM","0.176","2.104","81838243.00","2025","07","20","2025-07-20"
"Financ e Outros / Previd  Seguros","PSSA3","PORTO SEGURO","ON      NM","0.459","2.104","182560698.00","2025","07","20","2025-07-20"
"Financeiro e Outros/Serviços Financeiros Diversos","B3SA3","B3","ON      NM","3.276","3.276","5200055464.00","2025","07","20","2025-07-20"
"Mats Básicos / Madeira e Papel","KLBN11","KLABIN S/A","UNT     N2","0.698","2.249","765785673.00","2025","07","20","2025-07-20"
"Mats Básicos / Madeira e Papel","SUZB3","SUZANO S.A.","ON  ATZ NM","1.551","2.249","630821784.00","2025","07","20","2025-07-20"
"Mats Básicos / Mineração","BRAP4","BRADESPAR","PN      N1","0.197","11.917","250982988.00","2025","07","20","2025-07-20"
"Mats Básicos / Mineração","CMIN3","CSNMINERACAO","ON      N2","0.403","11.917","1646519336.00","2025","07","20","2025-07-20"
"Mats Básicos / Mineração","VALE3","VALE","ON      NM","11.317","11.917","4270903023.00","2025","07","20","2025-07-20"
"Mats Básicos / Químicos","BRKM5","BRASKEM","PNA     N1","0.107","0.107","265388400.00","2025","07","20","2025-07-20"
"Mats Básicos / Sid Metalurgia","GGBR4","GERDAU","PN      N1","1.023","1.670","1308152318.00","2025","07","20","2025-07-20"
"Mats Básicos / Sid Metalurgia","GOAU4","GERDAU MET","PN      N1","0.273","1.670","623866944.00","2025","07","20","2025-07-20"
"Mats Básicos / Sid Metalurgia","CSNA3","SID NACIONAL","ON","0.276","1.670","727459637.00","2025","07","20","2025-07-20"
"Mats Básicos / Sid Metalurgia","USIM5","USIMINAS","PNA     N1","0.098","1.670","515193199.00","2025","07","20","2025-07-20"
"Petróleo, Gás e Biocombustíveis","BRAV3","BRAVA","ON  ATZ NM","0.411","15.830","451311960.00","2025","07","20","2025-07-20"
"Petróleo, Gás e Biocombustíveis","CSAN3","COSAN","ON      NM","0.336","15.830","1160227510.00","2025","07","20","2025-07-20"
"Petróleo, Gás e Biocombustíveis","PETR3","PETROBRAS","ON      N2","4.608","15.830","2820420899.00","2025","07","20","2025-07-20"
"Petróleo, Gás e Biocombustíveis","PETR4","PETROBRAS","PN      N2","6.638","15.830","4410955873.00","2025","07","20","2025-07-20"
"Petróleo, Gás e Biocombustíveis","RECV3","PETRORECSA","ON      NM","0.183","15.830","274981010.00","2025","07","20","2025-07-20"
"Petróleo, Gás e Biocombustíveis","PRIO3","PETRORIO","ON      NM","1.640","15.830","779999989.00","2025","07","20","2025-07-20"
"Petróleo, Gás e Biocombustíveis","RAIZ4","RAIZEN","PN      N2","0.089","15.830","1210756333.00","2025","07","20","2025-07-20"
"Petróleo, Gás e Biocombustíveis","UGPA3","ULTRAPAR","ON      NM","0.830","15.830","1089082981.00","2025","07","20","2025-07-20"
"Petróleo, Gás e Biocombustíveis","VBBR3","VIBRA","ON      NM","1.095","15.830","1113939036.00","2025","07","20","2025-07-20"
"Saúde/Comércio Distr.","HYPE3","HYPERA","ON      NM","0.462","1.315","360057207.00","2025","07","20","2025-07-20"
"Saúde/Comércio Distr.","RADL3","RAIADROGASIL","ON      NM","0.853","1.315","1297567800.00","2025","07","20","2025-07-20"
"Saúde/SM Hosp An.Diag","FLRY3","FLEURY","ON      NM","0.280","2.596","455988366.00","2025","07","20","2025-07-20"
"Saúde/SM Hosp An.Diag","HAPV3","HAPVIDA","ON      NM","0.487","2.596","311217208.00","2025","07","20","2025-07-20"
"Saúde/SM Hosp An.Diag","RDOR3","REDE D OR","ON      NM","1.829","2.596","1145289019.00","2025","07","20","2025-07-20"
"Tec.Informação/Programas Servs","TOTS3","TOTVS","ON      NM","1.076","1.076","531531039.00","2025","07","20","2025-07-20"
"Telecomunicação","VIVT3","TELEF BRASIL","ON","1.150","1.948","764884256.00","2025","07","20","2025-07-20"
"Telecomunicação","TIMS3","TIM","ON      NM","0.798","1.948","806346600.00","2025","07","20","2025-07-20"
"Utilidade Públ / Água Saneamento","SBSP3","SABESP","ON      NM","3.674","3.674","683495706.00","2025","07","20","2025-07-20"
"Utilidade Públ / Energ Elétrica","AURE3","AUREN","ON      NM","0.141","11.728","323738747.00","2025","07","20","2025-07-20"
"Utilidade Públ / Energ Elétrica","CMIG4","CEMIG","PN      N1","0.937","11.728","1858636840.00","2025","07","20","2025-07-20"
"Utilidade Públ / Energ Elétrica","CPLE6","COPEL","PNB     N2","0.965","11.728","1671982390.00","2025","07","20","2025-07-20"
"Utilidade Públ / Energ Elétrica","CPFE3","CPFL ENERGIA","ON      NM","0.348","11.728","187732538.00","2025","07","20","2025-07-20"
"Utilidade Públ / Energ Elétrica","ELET3","ELETROBRAS","ON      N1","3.422","11.728","1808652474.00","2025","07","20","2025-07-20"
"Utilidade Públ / Energ Elétrica","ELET6","ELETROBRAS","PNB     N1","0.555","11.728","268875696.00","2025","07","20","2025-07-20"
"Utilidade Públ / Energ Elétrica","ENGI11","ENERGISA","UNT     N2","0.718","11.728","326175300.00","2025","07","20","2025-07-20"
"Utilidade Públ / Energ Elétrica","ENEV3","ENEVA","ON      NM","1.268","11.728","1907494195.00","2025","07","20","2025-07-20"
"Utilidade Públ / Energ Elétrica","EGIE3","ENGIE BRASIL","ON      NM","0.517","11.728","255236938.00","2025","07","20","2025-07-20"
"Utilidade Públ / Energ Elétrica","EQTL3","EQUATORIAL","ON      NM","2.068","11.728","1244304866.00","2025","07","20","2025-07-20"
"Utilidade Públ / Energ Elétrica","ISAE4","ISA ENERGIA","PN      N1","0.431","11.728","395801044.00","2025","07","20","2025-07-20"
"Utilidade Públ / Energ Elétrica","TAEE11","TAESA","UNT     N2","0.358","11.728","218568234.00","2025","07","20","2025-07-20"
"Bens Indls / Máqs e Equips","WEGE3","WEG","ON      NM","2.600","2.600","1482105837.00","2025","07","25","2025-07-25"
"Bens Indls / Mat Transporte","EMBR3","EMBRAER","ON      NM","2.340","2.607","734631701.00","2025","07","25","2025-07-25"
"Bens Indls / Mat Transporte","POMO4","MARCOPOLO","PN      N2","0.267","2.607","666378439.00","2025","07","25","2025-07-25"
"Bens Indls/Transporte","MOTV3","MOTIVA SA","ON      NM","0.598","1.860","991920937.00","2025","07","25","2025-07-25"
"Bens Indls/Transporte","RAIL3","RUMO S.A.","ON      NM","0.987","1.860","1216914397.00","2025","07","25","2025-07-25"
"Bens Indls/Transporte","STBP3","SANTOS BRP","ON      NM","0.275","1.860","409543219.00","2025","07","25","2025-07-25"
"Cons N  Básico / Alimentos Processados","BRFS3","BRF SA","ON      NM","0.850","1.329","832617717.00","2025","07","25","2025-07-25"
"Cons N  Básico / Alimentos Processados","MRFG3","MARFRIG","ON      NM","0.264","1.329","237618211.00","2025","07","25","2025-07-25"
"Cons N  Básico / Alimentos Processados","BEEF3","MINERVA","ON      NM","0.106","1.329","433214256.00","2025","07","25","2025-07-25"
"Cons N  Básico / Alimentos Processados","SMTO3","SAO MARTINHO","ON      NM","0.109","1.329","128130966.00","2025","07","25","2025-07-25"
"Cons N Cíclico / Bebidas","ABEV3","AMBEV S/A","ON","2.872","2.872","4394835131.00","2025","07","25","2025-07-25"
"Cons N Cíclico / Comércio Distr.","ASAI3","ASSAI","ON      NM","0.623","0.701","1345897506.00","2025","07","25","2025-07-25"
"Cons N Cíclico / Comércio Distr.","PCAR3","P.ACUCAR-CBD","ON      NM","0.078","0.701","461260303.00","2025","07","25","2025-07-25"
"Cons N Cíclico / Pr Pessoal Limp","NATU3","NATURA","ON      NM","0.385","0.385","845713747.00","2025","07","25","2025-07-25"
"Cons N Ciclico/Agropecuária","SLCE3","SLC AGRICOLA","ON      NM","0.169","0.169","194261422.00","2025","07","25","2025-07-25"
"Consumo Cíclico / Comércio","AZZA3","AZZAS 2154","ON      NM","0.242","1.281","136643320.00","2025","07","25","2025-07-25"
"Consumo Cíclico / Comércio","LREN3","LOJAS RENNER","ON      NM","0.852","1.281","1030587204.00","2025","07","25","2025-07-25"
"Consumo Cíclico / Comércio","MGLU3","MAGAZ LUIZA","ON      NM","0.129","1.281","353448195.00","2025","07","25","2025-07-25"
"Consumo Cíclico / Comércio","PETZ3","PETZ","ON      NM","0.058","1.281","295519280.00","2025","07","25","2025-07-25"
"Consumo Cíclico / Tecid Vest Calç","VIVA3","VIVARA S.A.","ON      NM","0.149","0.149","123160591.00","2025","07","25","2025-07-25"
"Consumo Cíclico/Constr Civil","CYRE3","CYRELA REALT","ON      NM","0.311","0.623","257174951.00","2025","07","25","2025-07-25"
"Consumo Cíclico/Constr Civil","DIRR3","DIRECIONAL","ON      NM","0.201","0.623","108541907.00","2025","07","25","2025-07-25"
"Consumo Cíclico/Constr Civil","MRVE3","MRV","ON      NM","0.111","0.623","375507695.00","2025","07","25","2025-07-25"
"Consumo Cíclico/Viagens e Lazer","CVCB3","CVC BRASIL","ON      NM","0.052","0.387","450926127.00","2025","07","25","2025-07-25"
"Consumo Cíclico/Viagens e Lazer","SMFT3","SMART FIT","ON      NM","0.335","0.387","328547988.00","2025","07","25","2025-07-25"
"Diversos","COGN3","COGNA ON","ON      NM","0.238","2.159","1872454628.00","2025","07","25","2025-07-25"
"Diversos","RENT3","LOCALIZA","ON      NM","1.665","2.159","956264719.00","2025","07","25","2025-07-25"
"Diversos","VAMO3","VAMOS","ON      NM","0.092","2.159","485166826.00","2025","07","25","2025-07-25"
"Diversos","YDUQ3","YDUQS PART","ON      NM","0.164","2.159","260249057.00","2025","07","25","2025-07-25"
"Financ e Outros / Explor Imóveis","ALOS3","ALLOS","ON  ED  NM","0.490","1.077","476976044.00","2025","07","25","2025-07-25"
"Financ e Outros / Explor Imóveis","IGTI11","IGUATEMI S.A","UNT     N1","0.201","1.077","198474750.00","2025","07","25","2025-07-25"
"Financ e Outros / Explor Imóveis","MULT3","MULTIPLAN","ON      N2","0.386","1.077","314311970.00","2025","07","25","2025-07-25"
"Financ e Outros / Holdings Divers","ITSA4","ITAUSA","PN      N1","2.949","2.949","5856697902.00","2025","07","25","2025-07-25"
"Financ e Outros / Interms Financs","BBDC3","BRADESCO","ON      N1","0.959","18.591","1469064981.00","2025","07","25","2025-07-25"
"Financ e Outros / Interms Financs","BBDC4","BRADESCO","PN      N1","3.880","18.591","5111682020.00","2025","07","25","2025-07-25"
"Financ e Outros / Interms Financs","BBAS3","BRASIL","ON      NM","2.762","18.591","2842613858.00","2025","07","25","2025-07-25"
"Financ e Outros / Interms Financs","BPAC11","BTGP BANCO","UNT     N2","2.459","18.591","1287247964.00","2025","07","25","2025-07-25"
"Financ e Outros / Interms Financs","ITUB4","ITAUUNIBANCO","PN      N1","8.075","18.591","4757320048.00","2025","07","25","2025-07-25"
"Financ e Outros / Interms Financs","SANB11","SANTANDER BR","UNT EJ","0.456","18.591","356586730.00","2025","07","25","2025-07-25"
"Financ e Outros / Previd  Seguros","BBSE3","BBSEGURIDADE","ON      NM","1.036","2.064","637332335.00","2025","07","25","2025-07-25"
