"segmento","codigo_bovespa","nome_acao","nome_tipo_acao","percentual_participacao_acao","percentual_participacao_acumulada","quantidade_teorica","ano","mes","dia","data_pregao"
"Financ e Outros / Previd  Seguros","CXSE3","CAIXA SEGURI","ON      NM","0.395","2.064","600000000.00","2025","07","25","2025-07-25"
"Financ e Outros / Previd  Seguros","IRBR3","IRBBRASIL RE","ON      NM","0.177","2.064","81838243.00","2025","07","25","2025-07-25"
"Financ e Outros / Previd  Seguros","PSSA3","PORTO SEGURO","ON      NM","0.456","2.064","182560698.00","2025","07","25","2025-07-25"
"Financeiro e Outros/Serviços Financeiros Diversos","B3SA3","B3","ON      NM","3.303","3.303","5200055464.00","2025","07","25","2025-07-25"
"Mats Básicos / Madeira e Papel","KLBN11","KLABIN S/A","UNT     N2","0.693","2.266","765785673.00","2025","07","25","2025-07-25"
"Mats Básicos / Madeira e Papel","SUZB3","SUZANO S.A.","ON      NM","1.573","2.266","630821784.00","2025","07","25","2025-07-25"
"Mats Básicos / Mineração","BRAP4","BRADESPAR","PN      N1","0.204","12.314","250982988.00","2025","07","25","2025-07-25"
"Mats Básicos / Mineração","CMIN3","CSNMINERACAO","ON      N2","0.422","12.314","1646519336.00","2025","07","25","2025-07-25"
"Mats Básicos / Mineração","VALE3","VALE","ON      NM","11.688","12.314","4270903023.00","2025","07","25","2025-07-25"
"Mats Básicos / Químicos","BRKM5","BRASKEM","PNA     N1","0.117","0.117","265388400.00","2025","07","25","2025-07-25"
"Mats Básicos / Sid Metalurgia","GGBR4","GERDAU","PN      N1","1.094","1.793","1308152318.00","2025","07","25","2025-07-25"
"Mats Básicos / Sid Metalurgia","GOAU4","GERDAU MET","PN      N1","0.291","1.793","623866944.00","2025","07","25","2025-07-25"
"Mats Básicos / Sid Metalurgia","CSNA3","SID NACIONAL","ON","0.301","1.793","727459637.00","2025","07","25","2025-07-25"
"Mats Básicos / Sid Metalurgia","USIM5","USIMINAS","PNA     N1","0.107","1.793","515193199.00","2025","07","25","2025-07-25"
"Petróleo, Gás e Biocombustíveis","BRAV3","BRAVA","ON      NM","0.417","16.145","451311960.00","2025","07","25","2025-07-25"
"Petróleo, Gás e Biocombustíveis","CSAN3","COSAN","ON      NM","0.331","16.145","1160227510.00","2025","07","25","2025-07-25"
"Petróleo, Gás e Biocombustíveis","PETR3","PETROBRAS","ON      N2","4.763","16.145","2820420899.00","2025","07","25","2025-07-25"
"Petróleo, Gás e Biocombustíveis","PETR4","PETROBRAS","PN      N2","6.821","16.145","4410955873.00","2025","07","25","2025-07-25"
"Petróleo, Gás e Biocombustíveis","RECV3","PETRORECSA","ON      NM","0.179","16.145","274981010.00","2025","07","25","2025-07-25"
"Petróleo, Gás e Biocombustíveis","PRIO3","PETRORIO","ON      NM","1.597","16.145","779999989.00","2025","07","25","2025-07-25"
"Petróleo, Gás e Biocombustíveis","RAIZ4","RAIZEN","PN      N2","0.089","16.145","1210756333.00","2025","07","25","2025-07-25"
"Petróleo, Gás e Biocombustíveis","UGPA3","ULTRAPAR","ON      NM","0.850","16.145","1089082981.00","2025","07","25","2025-07-25"
"Petróleo, Gás e Biocombustíveis","VBBR3","VIBRA","ON      NM","1.098","16.145","1113939036.00","2025","07","25","2025-07-25"
"Saúde/Comércio Distr.","HYPE3","HYPERA","ON      NM","0.456","1.350","360057207.00","2025","07","25","2025-07-25"
"Saúde/Comércio Distr.","RADL3","RAIADROGASIL","ON      NM","0.894","1.350","1297567800.00","2025","07","25","2025-07-25"
"Saúde/SM Hosp An.Diag","FLRY3","FLEURY","ON      NM","0.312","2.602","455988366.00","2025","07","25","2025-07-25"
"Saúde/SM Hosp An.Diag","HAPV3","HAPVIDA","ON      NM","0.482","2.602","311217208.00","2025","07","25","2025-07-25"
"Saúde/SM Hosp An.Diag","RDOR3","REDE D OR","ON      NM","1.808","2.602","1145289019.00","2025","07","25","2025-07-25"
"Tec.Informação/Programas Servs","TOTS3","TOTVS","ON      NM","1.107","1.107","531531039.00","2025","07","25","2025-07-25"
"Telecomunicação","VIVT3","TELEF BRASIL","ON","1.139","1.917","764884256.00","2025","07","25","2025-07-25"
"Telecomunicação","TIMS3","TIM","ON      NM","0.778","1.917","806346600.00","2025","07","25","2025-07-25"
"Utilidade Públ / Água Saneamento","SBSP3","SABESP","ON      NM","3.606","3.606","683495706.00","2025","07","25","2025-07-25"
"Utilidade Públ / Energ Elétrica","AURE3","AUREN","ON      NM","0.153","11.677","323738747.00","2025","07","25","2025-07-25"
"Utilidade Públ / Energ Elétrica","CMIG4","CEMIG","PN      N1","0.947","11.677","1858636840.00","2025","07","25","2025-07-25"
"Utilidade Públ / Energ Elétrica","CPLE6","COPEL","PNB     N2","0.949","11.677","1671982390.00","2025","07","25","2025-07-25"
"Utilidade Públ / Energ Elétrica","CPFE3","CPFL ENERGIA","ON      NM","0.347","11.677","187732538.00","2025","07","25","2025-07-25"
"Utilidade Públ / Energ Elétrica","ELET3","ELETROBRAS","ON      N1","3.367","11.677","1808652474.00","2025","07","25","2025-07-25"
"Utilidade Públ / Energ Elétrica","ELET6","ELETROBRAS","PNB     N1","0.547","11.677","268875696.00","2025","07","25","2025-07-25"
"Utilidade Públ / Energ Elétrica","ENGI11","ENERGISA","UNT     N2","0.720","11.677","326175300.00","2025","07","25","2025-07-25"
"Utilidade Públ / Energ Elétrica","ENEV3","ENEVA","ON      NM","1.280","11.677","1907494195.00","2025","07","25","2025-07-25"
"Utilidade Públ / Energ Elétrica","EGIE3","ENGIE BRASIL","ON      NM","0.526","11.677","255236938.00","2025","07","25","2025-07-25"
"Utilidade Públ / Energ Elétrica","EQTL3","EQUATORIAL","ON      NM","2.057","11.677","1244304866.00","2025","07","25","2025-07-25"
"Utilidade Públ / Energ Elétrica","ISAE4","ISA ENERGIA","PN      N1","0.429","11.677","395801044.00","2025","07","25","2025-07-25"
"Utilidade Públ / Energ Elétrica","TAEE11","TAESA","UNT     N2","0.355","11.677","218568234.00","2025","07","25","2025-07-25"
"Bens Indls / Máqs e Equips","WEGE3","WEG","ON      NM","3.050","3.050","1482105837.00","2025","07","21","2025-07-21"
"Bens Indls / Mat Transporte","EMBR3","EMBRAER","ON      NM","2.437","2.701","734631701.00","2025","07","21","2025-07-21"
"Bens Indls / Mat Transporte","POMO4","MARCOPOLO","PN      N2","0.264","2.701","666378439.00","2025","07","21","2025-07-21"
"Bens Indls/Transporte","MOTV3","MOTIVA SA","ON      NM","0.605","1.861","991920937.00","2025","07","21","2025-07-21"
"Bens Indls/Transporte","RAIL3","RUMO S.A.","ON      NM","0.980","1.861","1216914397.00","2025","07","21","2025-07-21"
"Bens Indls/Transporte","STBP3","SANTOS BRP","ON      NM","0.276","1.861","409543219.00","2025","07","21","2025-07-21"
"Cons N  Básico / Alimentos Processados","BRFS3","BRF SA","ON      NM","0.824","1.304","832617717.00","2025","07","21","2025-07-21"
"Cons N  Básico / Alimentos Processados","MRFG3","MARFRIG","ON      NM","0.261","1.304","237618211.00","2025","07","21","2025-07-21"
"Cons N  Básico / Alimentos Processados","BEEF3","MINERVA","ON      NM","0.108","1.304","433214256.00","2025","07","21","2025-07-21"
"Cons N  Básico / Alimentos Processados","SMTO3","SAO MARTINHO","ON      NM","0.111","1.304","128130966.00","2025","07","21","2025-07-21"
"Cons N Cíclico / Bebidas","ABEV3","AMBEV S/A","ON","2.843","2.843","4394835131.00","2025","07","21","2025-07-21"
"Cons N Cíclico / Comércio Distr.","ASAI3","ASSAI","ON      NM","0.635","0.716","1345897506.00","2025","07","21","2025-07-21"
"Cons N Cíclico / Comércio Distr.","PCAR3","P.ACUCAR-CBD","ON      NM","0.081","0.716","461260303.00","2025","07","21","2025-07-21"
"Cons N Cíclico / Pr Pessoal Limp","NATU3","NATURA","ON      NM","0.391","0.391","845713747.00","2025","07","21","2025-07-21"
"Cons N Ciclico/Agropecuária","SLCE3","SLC AGRICOLA","ON      NM","0.172","0.172","194261422.00","2025","07","21","2025-07-21"
"Consumo Cíclico / Comércio","AZZA3","AZZAS 2154","ON      NM","0.237","1.316","136643320.00","2025","07","21","2025-07-21"
"Consumo Cíclico / Comércio","LREN3","LOJAS RENNER","ON      NM","0.887","1.316","1030587204.00","2025","07","21","2025-07-21"
"Consumo Cíclico / Comércio","MGLU3","MAGAZ LUIZA","ON      NM","0.135","1.316","353448195.00","2025","07","21","2025-07-21"
"Consumo Cíclico / Comércio","PETZ3","PETZ","ON  ATZ NM","0.057","1.316","295519280.00","2025","07","21","2025-07-21"
"Consumo Cíclico / Tecid Vest Calç","VIVA3","VIVARA S.A.","ON      NM","0.153","0.153","123160591.00","2025","07","21","2025-07-21"
"Consumo Cíclico/Constr Civil","CYRE3","CYRELA REALT","ON      NM","0.332","0.653","257174951.00","2025","07","21","2025-07-21"
"Consumo Cíclico/Constr Civil","DIRR3","DIRECIONAL","ON      NM","0.212","0.653","108541907.00","2025","07","21","2025-07-21"
"Consumo Cíclico/Constr Civil","MRVE3","MRV","ON      NM","0.109","0.653","375507695.00","2025","07","21","2025-07-21"
"Consumo Cíclico/Viagens e Lazer","CVCB3","CVC BRASIL","ON      NM","0.052","0.402","450926127.00","2025","07","21","2025-07-21"
"Consumo Cíclico/Viagens e Lazer","SMFT3","SMART FIT","ON      NM","0.350","0.402","328547988.00","2025","07","21","2025-07-21"
"Diversos","COGN3","COGNA ON","ON      NM","0.236","2.157","1872454628.00","2025","07","21","2025-07-21"
"Diversos","RENT3","LOCALIZA","ON      NM","1.663","2.157","956264719.00","2025","07","21","2025-07-21"
"Diversos","VAMO3","VAMOS","ON      NM","0.090","2.157","485166826.00","2025","07","21","2025-07-21"
"Diversos","YDUQ3","YDUQS PART","ON      NM","0.168","2.157","260249057.00","2025","07","21","2025-07-21"
"Financ e Outros / Explor Imóveis","ALOS3","ALLOS","ON      NM","0.502","1.092","476976044.00","2025","07","21","2025-07-21"
"Financ e Outros / Explor Imóveis","IGTI11","IGUATEMI S.A","UNT     N1","0.205","1.092","198474750.00","2025","07","21","2025-07-21"
"Financ e Outros / Explor Imóveis","MULT3","MULTIPLAN","ON      N2","0.385","1.092","314311970.00","2025","07","21","2025-07-21"
"Financ e Outros / Holdings Divers","ITSA4","ITAUSA","PN      N1","2.972","2.972","5856697902.00","2025","07","21","2025-07-21"
"Financ e Outros / Interms Financs","BBDC3","BRADESCO","ON      N1","0.960","18.727","1469064981.00","2025","07","21","2025-07-21"
"Financ e Outros / Interms Financs","BBDC4","BRADESCO","PN      N1","3.890","18.727","5111682020.00","2025","07","21","2025-07-21"
"Financ e Outros / Interms Financs","BBAS3","BRASIL","ON      NM","2.797","18.727","2842613858.00","2025","07","21","2025-07-21"
"Financ e Outros / Interms Financs","BPAC11","BTGP BANCO","UNT     N2","2.521","18.727","1287247964.00","2025","07","21","2025-07-21"
"Financ e Outros / Interms Financs","ITUB4","ITAUUNIBANCO","PN      N1","8.103","18.727","4757320048.00","2025","07","21","2025-07-21"
"Financ e Outros / Interms Financs","SANB11","SANTANDER BR","UNT EJ","0.456","18.727","356586730.00","2025","07","21","2025-07-21"
"Financ e Outros / Previd  Seguros","BBSE3","BBSEGURIDADE","ON      NM","1.062","2.104","637332335.00","2025","07","21","2025-07-21"
"Financ e Outros / Previd  Seguros","CXSE3","CAIXA SEGURI","ON      NM","0.407","2.104","600000000.00","2025","07","21","2025-07-21"
"Financ e Outros / Previd  Seguros","IRBR3","IRBBRASIL RE","ON      NM","0.176","2.104","81838243.00","2025","07","21","2025-07-21"
"Financ e Outros / Previd  Seguros","PSSA3","PORTO SEGURO","ON      NM","0.459","2.104","182560698.00","2025","07","21","2025-07-21"
"Financeiro e Outros/Serviços Financeiros Diversos","B3SA3","B3","ON      NM","3.276","3.276","5200055464.00","2025","07","21","2025-07-21"
"Mats Básicos / Madeira e Papel","KLBN11","KLABIN S/A","UNT     N2","0.698","2.249","765785673.00","2025","07","21","2025-07-21"
"Mats Básicos / Madeira e Papel","SUZB3","SUZANO S.A.","ON  ATZ NM","1.551","2.249","630821784.00","2025","07","21","2025-07-21"
"Mats Básicos / Mineração","BRAP4","BRADESPAR","PN      N1","0.197","11.917","250982988.00","2025","07","21","2025-07-21"
"Mats Básicos / Mineração","CMIN3","CSNMINERACAO","ON      N2","0.403","11.917","1646519336.00","2025","07","21","2025-07-21"
"Mats Básicos / Mineração","VALE3","VALE","ON      NM","11.317","11.917","4270903023.00","2025","07","21","2025-07-21"
"Mats Básicos / Químicos","BRKM5","BRASKEM","PNA     N1","0.107","0.107","265388400.00","2025","07","21","2025-07-21"
"Mats Básicos / Sid Metalurgia","GGBR4","GERDAU","PN      N1","1.023","1.670","1308152318.00","2025","07","21","2025-07-21"
"Mats Básicos / Sid Metalurgia","GOAU4","GERDAU MET","PN      N1","0.273","1.670","623866944.00","2025","07","21","2025-07-21"
"Mats Básicos / Sid Metalurgia","CSNA3","SID NACIONAL","ON","0.276","1.670","727459637.00","2025","07","21","2025-07-21"
"Mats Básicos / Sid Metalurgia","USIM5","USIMINAS","PNA     N1","0.098","1.670","515193199.00","2025","07","21","2025-07-21"
"Petróleo, Gás e Biocombustíveis","BRAV3","BRAVA","ON  ATZ NM","0.411","15.830","451311960.00","2025","07","21","2025-07-21"
"Petróleo, Gás e Biocombustíveis","CSAN3","COSAN","ON      NM","0.336","15.830","1160227510.00","2025","07","21","2025-07-21"
"Petróleo, Gás e Biocombustíveis","PETR3","PETROBRAS","ON      N2","4.608","15.830","2820420899.00","2025","07","21","2025-07-21"
"Petróleo, Gás e Biocombustíveis","PETR4","PETROBRAS","PN      N2","6.638","15.830","4410955873.00","2025","07","21","2025-07-21"
"Petróleo, Gás e Biocombustíveis","RECV3","PETRORECSA","ON      NM","0.183","15.830","274981010.00","2025","07","21","2025-07-21"
"Petróleo, Gás e Biocombustíveis","PRIO3","PETRORIO","ON      NM","1.640","15.830","779999989.00","2025","07","21","2025-07-21"
"Petróleo, Gás e Biocombustíveis","RAIZ4","RAIZEN","PN      N2","0.089","15.830","1210756333.00","2025","07","21","2025-07-21"
"Petróleo, Gás e Biocombustíveis","UGPA3","ULTRAPAR","ON      NM","0.830","15.830","1089082981.00","2025","07","21","2025-07-21"
"Petróleo, Gás e Biocombustíveis","VBBR3","VIBRA","ON      NM","1.095","15.830","1113939036.00","2025","07","21","2025-07-21"
"Saúde/Comércio Distr.","HYPE3","HYPERA","ON      NM","0.462","1.315","360057207.00","2025","07","21","2025-07-21"
"Saúde/Comércio Distr.","RADL3","RAIADROGASIL","ON      NM","0.853","1.315","1297567800.00","2025","07","21","2025-07-21"
"Saúde/SM Hosp An.Diag","FLRY3","FLEURY","ON      NM","0.280","2.596","455988366.00","2025","07","21","2025-07-21"
"Saúde/SM Hosp An.Diag","HAPV3","HAPVIDA","ON      NM","0.487","2.596","311217208.00","2025","07","21","2025-07-21"
"Saúde/SM Hosp An.Diag","RDOR3","REDE D OR","ON      NM","1.829","2.596","1145289019.00","2025","07","21","2025-07-21"
"Tec.Informação/Programas Servs","TOTS3","TOTVS","ON      NM","1.076","1.076","531531039.00","2025","07","21","2025-07-21"
"Telecomunicação","VIVT3","TELEF BRASIL","ON","1.150","1.948","764884256.00","2025","07","21","2025-07-21"
"Telecomunicação","TIMS3","TIM","ON      NM","0.798","1.948","806346600.00","2025","07","21","2025-07-21"
"Utilidade Públ / Água Saneamento","SBSP3","SABESP","ON      NM","3.674","3.674","683495706.00","2025","07","21","2025-07-21"
"Utilidade Públ / Energ Elétrica","AURE3","AUREN","ON      NM","0.141","11.728","323738747.00","2025","07","21","2025-07-21"
"Utilidade Públ / Energ Elétrica","CMIG4","CEMIG","PN      N1","0.937","11.728","1858636840.00","2025","07","21","2025-07-21"
"Utilidade Públ / Energ Elétrica","CPLE6","COPEL","PNB     N2","0.965","11.728","1671982390.00","2025","07","21","2025-07-21"
"Utilidade Públ / Energ Elétrica","CPFE3","CPFL ENERGIA","ON      NM","0.348","11.728","187732538.00","2025","07","21","2025-07-21"
"Utilidade Públ / Energ Elétrica","ELET3","ELETROBRAS","ON      N1","3.422","11.728","1808652474.00","2025","07","21","2025-07-21"
"Utilidade Públ / Energ Elétrica","ELET6","ELETROBRAS","PNB     N1","0.555","11.728","268875696.00","2025","07","21","2025-07-21"
"Utilidade Públ / Energ Elétrica","ENGI11","ENERGISA","UNT     N2","0.718","11.728","326175300.00","2025","07","21","2025-07-21"
"Utilidade Públ / Energ Elétrica","ENEV3","ENEVA","ON      NM","1.268","11.728","1907494195.00","2025","07","21","2025-07-21"
"Utilidade Públ / Energ Elétrica","EGIE3","ENGIE BRASIL","ON      NM","0.517","11.728","255236938.00","2025","07","21","2025-07-21"
"Utilidade Públ / Energ Elétrica","EQTL3","EQUATORIAL","ON      NM","2.068","11.728","1244304866.00","2025","07","21","2025-07-21"
"Utilidade Públ / Energ Elétrica","ISAE4","ISA ENERGIA","PN      N1","0.431","11.728","395801044.00","2025","07","21","2025-07-21"
"Utilidade Públ / Energ Elétrica","TAEE11","TAESA","UNT     N2","0.358","11.728","218568234.00","2025","07","21","2025-07-21"
"Bens Indls / Máqs e Equips","WEGE3","WEG","ON      NM","2.960","2.960","1482105837.00","2025","07","23","2025-07-23"
"Bens Indls / Mat Transporte","EMBR3","EMBRAER","ON      NM","2.402","2.669","734631701.00","2025","07","23","2025-07-23"
"Bens Indls / Mat Transporte","POMO4","MARCOPOLO","PN      N2","0.267","2.669","666378439.00","2025","07","23","2025-07-23"
"Bens Indls/Transporte","MOTV3","MOTIVA SA","ON      NM","0.592","1.854","991920937.00","2025","07","23","2025-07-23"
"Bens Indls/Transporte","RAIL3","RUMO S.A.","ON      NM","0.987","1.854","1216914397.00","2025","07","23","2025-07-23"
"Bens Indls/Transporte","STBP3","SANTOS BRP","ON      NM","0.275","1.854","409543219.00","2025","07","23","2025-07-23"
"Cons N  Básico / Alimentos Processados","BRFS3","BRF SA","ON      NM","0.892","1.373","832617717.00","2025","07","23","2025-07-23"
"Cons N  Básico / Alimentos Processados","MRFG3","MARFRIG","ON      NM","0.264","1.373","237618211.00","2025","07","23","2025-07-23"
"Cons N  Básico / Alimentos Processados","BEEF3","MINERVA","ON      NM","0.107","1.373","433214256.00","2025","07","23","2025-07-23"
"Cons N  Básico / Alimentos Processados","SMTO3","SAO MARTINHO","ON      NM","0.110","1.373","128130966.00","2025","07","23","2025-07-23"
"Cons N Cíclico / Bebidas","ABEV3","AMBEV S/A","ON","2.846","2.846","4394835131.00","2025","07","23","2025-07-23"
"Cons N Cíclico / Comércio Distr.","ASAI3","ASSAI","ON      NM","0.626","0.701","1345897506.00","2025","07","23","2025-07-23"
"Cons N Cíclico / Comércio Distr.","PCAR3","P.ACUCAR-CBD","ON      NM","0.075","0.701","461260303.00","2025","07","23","2025-07-23"
"Cons N Cíclico / Pr Pessoal Limp","NATU3","NATURA","ON      NM","0.374","0.374","845713747.00","2025","07","23","2025-07-23"
"Cons N Ciclico/Agropecuária","SLCE3","SLC AGRICOLA","ON      NM","0.168","0.168","194261422.00","2025","07","23","2025-07-23"
"Consumo Cíclico / Comércio","AZZA3","AZZAS 2154","ON      NM","0.238","1.291","136643320.00","2025","07","23","2025-07-23"
"Consumo Cíclico / Comércio","LREN3","LOJAS RENNER","ON      NM","0.868","1.291","1030587204.00","2025","07","23","2025-07-23"
"Consumo Cíclico / Comércio","MGLU3","MAGAZ LUIZA","ON      NM","0.128","1.291","353448195.00","2025","07","23","2025-07-23"
"Consumo Cíclico / Comércio","PETZ3","PETZ","ON  ATZ NM","0.057","1.291","295519280.00","2025","07","23","2025-07-23"
"Consumo Cíclico / Tecid Vest Calç","VIVA3","VIVARA S.A.","ON      NM","0.148","0.148","123160591.00","2025","07","23","2025-07-23"
"Consumo Cíclico/Constr Civil","CYRE3","CYRELA REALT","ON      NM","0.320","0.634","257174951.00","2025","07","23","2025-07-23"
"Consumo Cíclico/Constr Civil","DIRR3","DIRECIONAL","ON      NM","0.206","0.634","108541907.00","2025","07","23","2025-07-23"
"Consumo Cíclico/Constr Civil","MRVE3","MRV","ON      NM","0.108","0.634","375507695.00","2025","07","23","2025-07-23"
"Consumo Cíclico/Viagens e Lazer","CVCB3","CVC BRASIL","ON      NM","0.051","0.388","450926127.00","2025","07","23","2025-07-23"
"Consumo Cíclico/Viagens e Lazer","SMFT3","SMART FIT","ON      NM","0.337","0.388","328547988.00","2025","07","23","2025-07-23"
"Diversos","COGN3","COGNA ON","ON      NM","0.233","2.144","1872454628.00","2025","07","23","2025-07-23"
"Diversos","RENT3","LOCALIZA","ON      NM","1.655","2.144","956264719.00","2025","07","23","2025-07-23"
"Diversos","VAMO3","VAMOS","ON      NM","0.093","2.144","485166826.00","2025","07","23","2025-07-23"
"Diversos","YDUQ3","YDUQS PART","ON      NM","0.163","2.144","260249057.00","2025","07","23","2025-07-23"
"Financ e Outros / Explor Imóveis","ALOS3","ALLOS","ON  ED  NM","0.488","1.070","476976044.00","2025","07","23","2025-07-23"
"Financ e Outros / Explor Imóveis","IGTI11","IGUATEMI S.A","UNT     N1","0.201","1.070","198474750.00","2025","07","23","2025-07-23"
"Financ e Outros / Explor Imóveis","MULT3","MULTIPLAN","ON      N2","0.381","1.070","314311970.00","2025","07","23","2025-07-23"
"Financ e Outros / Holdings Divers","ITSA4","ITAUSA","PN      N1","2.944","2.944","5856697902.00","2025","07","23","2025-07-23"
"Financ e Outros / Interms Financs","BBDC3","BRADESCO","ON      N1","0.952","18.517","1469064981.00","2025","07","23","2025-07-23"
"Financ e Outros / Interms Financs","BBDC4","BRADESCO","PN      N1","3.861","18.517","5111682020.00","2025","07","23","2025-07-23"
"Financ e Outros / Interms Financs","BBAS3","BRASIL","ON      NM","2.733","18.517","2842613858.00","2025","07","23","2025-07-23"
"Financ e Outros / Interms Financs","BPAC11","BTGP BANCO","UNT     N2","2.469","18.517","1287247964.00","2025","07","23","2025-07-23"
"Financ e Outros / Interms Financs","ITUB4","ITAUUNIBANCO","PN      N1","8.047","18.517","4757320048.00","2025","07","23","2025-07-23"
"Financ e Outros / Interms Financs","SANB11","SANTANDER BR","UNT EJ","0.455","18.517","356586730.00","2025","07","23","2025-07-23"
"Financ e Outros / Previd  Seguros","BBSE3","BBSEGURIDADE","ON      NM","1.037","2.061","637332335.00","2025","07","23","2025-07-23"
"Financ e Outros / Previd  Seguros","CXSE3","CAIXA SEGURI","ON      NM","0.396","2.061","600000000.00","2025","07","23","2025-07-23"
"Financ e Outros / Previd  Seguros","IRBR3","IRBBRASIL RE","ON      NM","0.173","2.061","81838243.00","2025","07","23","2025-07-23"
"Financ e Outros / Previd  Seguros","PSSA3","PORTO SEGURO","ON      NM","0.455","2.061","182560698.00","2025","07","23","2025-07-23"
"Financeiro e Outros/Serviços Financeiros Diversos","B3SA3","B3","ON      NM","3.285","3.285","5200055464.00","2025","07","23","2025-07-23"
"Mats Básicos / Madeira e Papel","KLBN11","KLABIN S/A","UNT     N2","0.689","2.252","765785673.00","2025","07","23","2025-07-23"
"Mats Básicos / Madeira e Papel","SUZB3","SUZANO S.A.","ON  ATZ NM","1.563","2.252","630821784.00","2025","07","23","2025-07-23"
"Mats Básicos / Mineração","BRAP4","BRADESPAR","PN      N1","0.205","12.498","250982988.00","2025","07","23","2025-07-23"
"Mats Básicos / Mineração","CMIN3","CSNMINERACAO","ON      N2","0.424","12.498","1646519336.00","2025","07","23","2025-07-23"
"Mats Básicos / Mineração","VALE3","VALE","ON      NM","11.869","12.498","4270903023.00","2025","07","23","2025-07-23"
"Mats Básicos / Químicos","BRKM5","BRASKEM","PNA     N1","0.112","0.112","265388400.00","2025","07","23","2025-07-23"
"Mats Básicos / Sid Metalurgia","GGBR4","GERDAU","PN      N1","1.069","1.759","1308152318.00","2025","07","23","2025-07-23"
"Mats Básicos / Sid Metalurgia","GOAU4","GERDAU MET","PN      N1","0.283","1.759","623866944.00","2025","07","23","2025-07-23"
"Mats Básicos / Sid Metalurgia","CSNA3","SID NACIONAL","ON","0.301","1.759","727459637.00","2025","07","23","2025-07-23"
"Mats Básicos / Sid Metalurgia","USIM5","USIMINAS","PNA     N1","0.106","1.759","515193199.00","2025","07","23","2025-07-23"
"Petróleo, Gás e Biocombustíveis","BRAV3","BRAVA","ON  ATZ NM","0.407","15.824","451311960.00","2025","07","23","2025-07-23"
"Petróleo, Gás e Biocombustíveis","CSAN3","COSAN","ON      NM","0.322","15.824","1160227510.00","2025","07","23","2025-07-23"
"Petróleo, Gás e Biocombustíveis","PETR3","PETROBRAS","ON      N2","4.645","15.824","2820420899.00","2025","07","23","2025-07-23"
"Petróleo, Gás e Biocombustíveis","PETR4","PETROBRAS","PN      N2","6.683","15.824","4410955873.00","2025","07","23","2025-07-23"
"Petróleo, Gás e Biocombustíveis","RECV3","PETRORECSA","ON      NM","0.177","15.824","274981010.00","2025","07","23","2025-07-23"
"Petróleo, Gás e Biocombustíveis","PRIO3","PETRORIO","ON      NM","1.605","15.824","779999989.00","2025","07","23","2025-07-23"
"Petróleo, Gás e Biocombustíveis","RAIZ4","RAIZEN","PN      N2","0.085","15.824","1210756333.00","2025","07","23","2025-07-23"
